timestamp,method,endpoint,status_code,size,response_time
2025-01-01 00:11:13,DELETE,/usr,303,5027,130
2025-01-01 00:56:48,POST,/usr/login,304,5036,353
2025-01-01 00:26:13,GET,/usr/admin/developer,403,5006,8126
2025-01-01 00:50:19,PUT,/usr/admin/developer,404,4986,332
2025-01-01 00:38:11,POST,/usr/login,502,4992,355
2025-01-01 00:12:31,GET,/usr/admin/developer,500,5043,264
2025-01-01 00:53:18,GET,/usr/login,304,4988,510
2025-01-01 00:13:53,GET,/usr/admin,500,4956,154
2025-01-01 00:19:28,GET,/usr/login,200,4912,6509
2025-01-01 00:46:25,POST,/usr/admin/developer,404,5019,124
2025-01-01 00:50:42,DELETE,/usr/register,502,4979,424
2025-01-01 00:41:08,POST,/usr,304,4918,225
2025-01-01 00:54:56,DELETE,/usr/login,200,5027,486
2025-01-01 00:44:08,PUT,/usr/register,200,5044,228
2025-01-01 00:30:54,POST,/usr/admin,304,5061,266
2025-01-01 00:22:39,DELETE,/usr,500,4965,105
2025-01-01 00:38:59,PUT,/usr/login,200,5040,442
2025-01-01 00:19:03,PUT,/usr,502,5019,96
2025-01-01 00:56:29,POST,/usr/login,500,4992,492
2025-01-01 00:43:55,GET,/usr/register,404,4989,335
2025-01-01 00:40:22,PUT,/usr,404,5033,386
2025-01-01 00:56:55,GET,/usr/admin/developer,304,4985,9579
2025-01-01 00:59:35,DELETE,/usr/register,200,5051,362
2025-01-01 00:42:37,GET,/usr/register,304,4998,72
2025-01-01 00:12:42,POST,/usr/admin/developer,404,5050,197
2025-01-01 00:13:16,POST,/usr/admin/developer,404,4946,5932
2025-01-01 00:46:32,DELETE,/usr/login,500,5002,358
2025-01-01 00:21:00,GET,/usr/admin/developer,500,5037,12300
2025-01-01 00:39:30,DELETE,/usr/login,303,4997,208
2025-01-01 00:43:37,POST,/usr/admin/developer,502,5016,350
2025-01-01 00:09:55,DELETE,/usr/login,304,4959,11553
2025-01-01 00:00:34,DELETE,/usr/admin/developer,502,5000,290
2025-01-01 00:05:18,DELETE,/usr/admin/developer,303,5017,371
2025-01-01 00:08:16,POST,/usr/login,502,5057,445
2025-01-01 00:41:15,POST,/usr,403,4977,460
2025-01-01 00:21:42,GET,/usr/admin,502,4869,220
2025-01-01 00:00:20,DELETE,/usr/register,404,4960,163
2025-01-01 00:03:10,PUT,/usr/login,303,4971,336
2025-01-01 00:56:33,POST,/usr/register,500,4964,11138
2025-01-01 00:25:06,DELETE,/usr/register,500,4915,12523
2025-01-01 00:25:03,GET,/usr/admin,303,5039,69
2025-01-01 00:48:38,PUT,/usr/admin,200,4995,12509
2025-01-01 00:35:59,POST,/usr/register,200,4987,495
2025-01-01 00:28:18,PUT,/usr/register,502,5074,447
2025-01-01 00:50:36,DELETE,/usr/admin,403,5057,195
2025-01-01 00:49:13,PUT,/usr/login,500,5076,181
2025-01-01 00:46:20,DELETE,/usr/login,303,5004,154
2025-01-01 00:40:49,PUT,/usr/admin/developer,304,4926,182
2025-01-01 00:00:29,DELETE,/usr/admin/developer,200,4985,371
2025-01-01 00:35:15,GET,/usr/login,403,4894,413
2025-01-01 00:35:42,GET,/usr/admin/developer,403,5097,289
2025-01-01 00:54:26,POST,/usr/admin/developer,303,4964,320
2025-01-01 00:23:40,POST,/usr,200,4964,11938
2025-01-01 00:14:24,POST,/usr/admin/developer,500,5063,328
2025-01-01 00:33:13,DELETE,/usr,304,5032,398
2025-01-01 00:45:04,PUT,/usr/register,303,4962,7436
2025-01-01 00:45:54,POST,/usr/register,500,5014,221
2025-01-01 00:07:38,GET,/usr/admin,500,4958,196
2025-01-01 00:23:15,PUT,/usr,404,5010,223
2025-01-01 00:30:57,GET,/usr/admin,303,5029,352
2025-01-01 00:53:56,GET,/usr/register,500,4993,116
2025-01-01 00:26:18,DELETE,/usr/login,200,4983,11274
2025-01-01 00:00:30,DELETE,/usr/register,502,5031,110
2025-01-01 00:28:23,PUT,/usr/admin,404,5010,417
2025-01-01 00:31:28,DELETE,/usr/login,304,4983,526
2025-01-01 00:46:43,POST,/usr/admin,304,4967,473
2025-01-01 00:39:26,DELETE,/usr/register,303,4985,302
2025-01-01 00:33:28,PUT,/usr/admin/developer,404,5126,435
2025-01-01 00:56:07,POST,/usr/register,500,5032,443
2025-01-01 00:17:14,PUT,/usr,304,4926,278
2025-01-01 00:23:45,GET,/usr/admin,502,4984,480
2025-01-01 00:37:19,DELETE,/usr/admin/developer,303,4979,5555
2025-01-01 00:34:48,DELETE,/usr/login,500,5017,184
2025-01-01 00:33:07,DELETE,/usr/admin,502,5016,357
2025-01-01 00:33:24,DELETE,/usr/login,403,5045,200
2025-01-01 00:12:09,POST,/usr/login,304,4973,321
2025-01-01 00:02:46,POST,/usr,500,4973,12433
2025-01-01 00:39:32,DELETE,/usr/admin/developer,200,4955,7452
2025-01-01 00:53:04,POST,/usr/admin/developer,502,5009,223
2025-01-01 00:52:40,PUT,/usr/admin/developer,304,4929,208
2025-01-01 00:12:13,POST,/usr/admin,404,5054,440
2025-01-01 00:02:45,POST,/usr/login,403,4971,130
2025-01-01 00:41:21,GET,/usr,404,5026,384
2025-01-01 00:31:25,GET,/usr/admin/developer,200,5020,247
2025-01-01 00:25:54,GET,/usr/login,304,5019,9658
2025-01-01 00:57:59,POST,/usr/register,304,4983,448
2025-01-01 00:20:34,GET,/usr/admin/developer,304,5009,407
2025-01-01 00:55:01,PUT,/usr,304,4924,118
2025-01-01 00:25:14,DELETE,/usr,200,5045,355
2025-01-01 00:04:56,PUT,/usr/admin,200,4985,217
2025-01-01 00:34:41,PUT,/usr/admin,500,4995,350
2025-01-01 00:28:15,DELETE,/usr/admin/developer,502,5021,295
2025-01-01 00:43:47,GET,/usr/register,304,4945,274
2025-01-01 00:27:51,PUT,/usr/register,303,4931,201
2025-01-01 00:13:18,POST,/usr/admin/developer,303,4952,372
2025-01-01 00:03:15,PUT,/usr/register,404,4933,426
2025-01-01 00:37:40,PUT,/usr/login,304,4968,164
2025-01-01 00:35:06,GET,/usr/register,502,4995,13682
2025-01-01 00:48:49,GET,/usr,200,5017,415
2025-01-01 00:30:05,POST,/usr,403,5014,423
2025-01-01 00:59:16,DELETE,/usr/register,303,4931,325
2025-01-01 00:35:28,POST,/usr/login,403,5054,517
2025-01-01 00:27:34,POST,/usr/admin/developer,404,4955,370
2025-01-01 00:29:33,GET,/usr,502,4935,325
2025-01-01 00:04:48,DELETE,/usr/register,502,5133,265
2025-01-01 00:03:20,PUT,/usr/register,304,5021,60
2025-01-01 00:42:50,PUT,/usr,304,5005,5288
2025-01-01 00:14:14,PUT,/usr/login,200,5010,77
2025-01-01 00:30:16,GET,/usr,500,4983,6868
2025-01-01 00:18:15,DELETE,/usr/admin,304,4989,540
2025-01-01 00:41:16,PUT,/usr/register,303,5038,56
2025-01-01 00:21:16,POST,/usr/admin,404,5022,108
2025-01-01 00:17:13,PUT,/usr,502,4940,7830
2025-01-01 00:27:27,DELETE,/usr/admin/developer,200,4967,242
2025-01-01 00:10:21,GET,/usr/admin,200,5037,209
2025-01-01 00:50:50,PUT,/usr,200,5065,448
2025-01-01 00:07:07,POST,/usr/admin/developer,404,4954,338
